::1 - - [15/Sep/2022:13:25:15 +0000] "DELETE /armee/6323200b9d423724202f9d87? HTTP/1.1" 200 102
::1 - - [15/Sep/2022:13:27:24 +0000] "GET /armee? HTTP/1.1" 200 196
::1 - - [15/Sep/2022:13:27:40 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:27:54 +0000] "OPTIONS /armee/632320049d423724202f9d85? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:27:54 +0000] "DELETE /armee/632320049d423724202f9d85? HTTP/1.1" 200 104
::1 - - [15/Sep/2022:13:28:13 +0000] "GET /armee? HTTP/1.1" 200 99
::1 - - [15/Sep/2022:13:28:38 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:28:42 +0000] "OPTIONS /armee/632310ce9d423724202f9d73? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:28:42 +0000] "DELETE /armee/632310ce9d423724202f9d73? HTTP/1.1" 200 105
::1 - - [15/Sep/2022:13:29:00 +0000] "OPTIONS /armee? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:29:00 +0000] "POST /armee? HTTP/1.1" 201 104
::1 - - [15/Sep/2022:13:29:07 +0000] "OPTIONS /armee? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:29:07 +0000] "POST /armee? HTTP/1.1" 201 104
::1 - - [15/Sep/2022:13:29:21 +0000] "OPTIONS /armee? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:29:21 +0000] "POST /armee? HTTP/1.1" 201 102
::1 - - [15/Sep/2022:13:29:42 +0000] "OPTIONS /armee? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:29:42 +0000] "POST /armee? HTTP/1.1" 201 103
::1 - - [15/Sep/2022:13:29:50 +0000] "GET /armee? HTTP/1.1" 200 386
::1 - - [15/Sep/2022:13:39:20 +0000] "GET /rmia? HTTP/1.1" 200 2
::1 - - [15/Sep/2022:13:39:20 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:47:45 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:47:45 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:48:03 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:48:03 +0000] "POST /rmia? HTTP/1.1" 500 354
::1 - - [15/Sep/2022:13:49:27 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:49:28 +0000] "POST /rmia? HTTP/1.1" 500 354
::1 - - [15/Sep/2022:13:54:12 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:54:12 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:56:08 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:56:08 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:56:34 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:56:34 +0000] "POST /rmia? HTTP/1.1" 201 132
::1 - - [15/Sep/2022:13:56:43 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:56:43 +0000] "POST /rmia? HTTP/1.1" 201 132
::1 - - [15/Sep/2022:13:56:48 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:56:48 +0000] "POST /rmia? HTTP/1.1" 201 132
::1 - - [15/Sep/2022:13:56:54 +0000] "OPTIONS /rmia? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:13:56:54 +0000] "POST /rmia? HTTP/1.1" 201 132
::1 - - [15/Sep/2022:13:57:17 +0000] "GET /rmia? HTTP/1.1" 200 501
::1 - - [15/Sep/2022:13:57:17 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:58:32 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:58:32 +0000] "GET /rmia? HTTP/1.1" 200 813
::1 - - [15/Sep/2022:13:59:22 +0000] "GET /armee? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:13:59:22 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:14:02:27 +0000] "GET /brigade? HTTP/1.1" 200 2
::1 - - [15/Sep/2022:14:02:27 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:14:03:36 +0000] "GET /brigade? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:14:03:36 +0000] "GET /rmia? HTTP/1.1" 304 -
::1 - - [15/Sep/2022:14:04:09 +0000] "OPTIONS /brigade? HTTP/1.1" 204 0
::1 - - [15/Sep/2022:14:04:10 +0000] "POST /brigade? HTTP/1.1" 201 130
::1 - - [15/Sep/2022:14:04:36 +0000] "OPTIONS /brigade? HTTP/1.1" 204 0
